TITLE     = ""
VARIABLES = "x [m]"
"r [m]"
ZONE T="Ogive Surface"
 STRANDID=0, SOLUTIONTIME=0
 I=8000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.315903365612030029E-02 1.570263761095702648E-03
 6.316357105970382690E-02 1.605706638656556606E-03
 6.316827237606048584E-02 1.641626120544970036E-03
 6.317314505577087402E-02 1.677994965575635433E-03
 6.317818909883499146E-02 1.714784186333417892E-03
 6.318339705467224121E-02 1.751963049173355103E-03
 6.318876147270202637E-02 1.789499656297266483E-03
 6.319429725408554077E-02 1.827360363677144051E-03
 6.319999694824218750E-02 1.865511294454336166E-03
 6.320585310459136963E-02 1.903917407616972923E-03
 6.321187317371368408E-02 1.942544244229793549E-03
 6.321804225444793701E-02 1.981357345357537270E-03
 6.322436034679412842E-02 2.020323881879448891E-03
 6.323082000017166138E-02 2.059411955997347832E-03
 6.323742866516113281E-02 2.098592463880777359E-03
 6.324417889118194580E-02 2.137838862836360931E-03
 6.325106322765350342E-02 2.177127869799733162E-03
 6.325808167457580566E-02 2.216439694166183472E-03
 6.326523423194885254E-02 2.255758969113230705E-03
 6.327251344919204712E-02 2.295073121786117554E-03
 6.327991932630538940E-02 2.334373770281672478E-03
 6.328745186328887939E-02 2.373655326664447784E-03
 6.329510360956192017E-02 2.412914531305432320E-03
 6.330288946628570557E-02 2.452149521559476852E-03
 6.331080198287963867E-02 2.491359831765294075E-03
 6.331883370876312256E-02 2.530544530600309372E-03
 6.332699209451675415E-02 2.569703152403235435E-03
 6.333528459072113037E-02 2.608835464343428612E-03
 6.334368884563446045E-02 2.647941233590245247E-03
 6.335222721099853516E-02 2.687019761651754379E-03
 6.336089223623275757E-02 2.726071048527956009E-03
 6.336967647075653076E-02 2.765094162896275520E-03
 6.337858736515045166E-02 2.804088871926069260E-03
 6.338761746883392334E-02 2.843055175617337227E-03
 6.339678168296813965E-02 2.881992142647504807E-03
 6.340606510639190674E-02 2.920899540185928345E-03
 6.341547518968582153E-02 2.959777135401964188E-03
 6.342501193284988403E-02 2.998624462634325027E-03
 6.343466788530349731E-02 3.037441056221723557E-03
 6.344445049762725830E-02 3.076226683333516121E-03
 6.345435231924057007E-02 3.114980645477771759E-03
 6.346438080072402954E-02 3.153702709823846817E-03
 6.347453594207763672E-02 3.192392410710453987E-03
 6.348481774330139160E-02 3.231049515306949615E-03
 6.349521875381469727E-02 3.269673557952046394E-03
 6.350573897361755371E-02 3.308264072984457016E-03
 6.351638585329055786E-02 3.346820827573537827E-03
 6.352715939283370972E-02 3.385343123227357864E-03
 6.353805214166641235E-02 3.423830727115273476E-03
 6.354907155036926270E-02 3.462283406406641006E-03
 6.356021016836166382E-02 3.500700695440173149E-03
 6.357147544622421265E-02 3.539082128554582596E-03
 6.358286738395690918E-02 3.577427240088582039E-03
 6.359437108039855957E-02 3.615735564380884171E-03
 6.360600143671035767E-02 3.654007101431488991E-03
 6.361775845289230347E-02 3.692241152748465538E-03
 6.362963467836380005E-02 3.730437485501170158E-03
 6.364163011312484741E-02 3.768595401197671890E-03
 6.365375220775604248E-02 3.806714899837970734E-03
 6.366599351167678833E-02 3.844795282930135727E-03
 6.367836147546768188E-02 3.882836317643523216E-03
 6.369084864854812622E-02 3.920837771147489548E-03
